날짜,매체명,상품명,소재명,노출수(열람수),클릭수,발송수,비용,인타입,비고
2026-01-01,KT PASS,PUSH,소재 A,22235,27,0,172000,A_pasB101,
2026-01-01,KT PASS,PUSH,미확인,,,,,A_pasB112,
2026-01-01,KT PASS,하단배너,소재 A,1520,17,0,14000,A_pasB102,
2026-01-01,T멤버십,PUSH,소재 A,0,0,0,0,A_sktB101,
2026-01-01,T멤버십,PUSH,소재 C,0,0,0,0,A_sktB912,
2026-01-01,T멤버십,미션탭,소재 A,165444,283,0,165000,A_sktB102,
2026-01-01,가스락,서브 참여형 리스트 배너,소재 A,2683,62,0,35000,A_gasB105,
2026-01-01,가스락,서브 텍스트 배너,소재 A,33072,293,0,75000,A_gasB103,
2026-01-01,가스락,혜택 상단 배너,소재 A,19512,8,0,0,A_gasB104,
2026-01-01,가스락,홈 참여형 리스트 배너,소재 A,348900,492,0,56000,A_gasB102,
2026-01-01,가스락,홈 토스트 배너,소재 A,41592,455,0,118000,A_gasB101,
2026-01-02,KT PASS,PUSH,소재 A,58141,35,0,449000,A_pasB101,
2026-01-02,KT PASS,하단배너,소재 A,2281,16,0,20000,A_pasB102,
2026-01-02,T멤버십,PUSH,소재 A,0,5301,300000,1875000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-02,T멤버십,미션탭,소재 A,175410,196,0,175000,A_sktB102,
2026-01-02,가스락,서브 참여형 리스트 배너,소재 A,2041,54,0,27000,A_gasB105,
2026-01-02,가스락,서브 텍스트 배너,소재 A,39004,332,0,89000,A_gasB103,
2026-01-02,가스락,혜택 상단 배너,소재 A,12106,7,0,0,A_gasB104,
2026-01-02,가스락,홈 참여형 리스트 배너,소재 A,433954,286,0,70000,A_gasB102,
2026-01-02,가스락,홈 토스트 배너,소재 A,45704,733,0,130000,A_gasB101,
2026-01-03,KT PASS,PUSH,소재 A,17003,31,0,131000,A_pasB101,
2026-01-03,KT PASS,하단배너,소재 A,1175,15,0,10000,A_pasB102,
2026-01-03,T멤버십,PUSH,소재 A,0,0,0,0,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-03,T멤버십,미션탭,소재 A,171675,189,0,172000,A_sktB102,
2026-01-03,가스락,서브 참여형 리스트 배너,소재 A,1655,50,0,22000,A_gasB105,
2026-01-03,가스락,서브 텍스트 배너,소재 A,28488,236,0,65000,A_gasB103,
2026-01-03,가스락,혜택 상단 배너,소재 A,9612,9,0,0,A_gasB104,
2026-01-03,가스락,홈 참여형 리스트 배너,소재 A,391561,198,0,63000,A_gasB102,
2026-01-03,가스락,홈 토스트 배너,소재 A,36770,635,0,105000,A_gasB101,
2026-01-04,KT PASS,PUSH,소재 A,13759,25,0,106000,A_pasB101,
2026-01-04,KT PASS,하단배너,소재 A,1076,4,0,10000,A_pasB102,
2026-01-04,T멤버십,PUSH,소재 A,0,0,0,0,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-04,T멤버십,미션탭,소재 A,170895,176,0,171000,A_sktB102,
2026-01-04,가스락,서브 참여형 리스트 배너,소재 A,1537,38,0,20000,A_gasB105,
2026-01-04,가스락,서브 텍스트 배너,소재 A,26442,236,0,60000,A_gasB103,
2026-01-04,가스락,혜택 상단 배너,소재 A,8905,8,0,0,A_gasB104,
2026-01-04,가스락,홈 참여형 리스트 배너,소재 A,388360,202,0,63000,A_gasB102,
2026-01-04,가스락,홈 토스트 배너,소재 A,35401,657,0,101000,A_gasB101,
2026-01-05,KT PASS,PUSH,소재 A,59901,32,0,463000,A_pasB101,
2026-01-05,KT PASS,하단배너,소재 A,1921,16,0,17000,A_pasB102,
2026-01-05,T멤버십,PUSH,소재 A,0,4005,200000,1250000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-05,T멤버십,미션탭,소재 A,172972,152,0,173000,A_sktB102,
2026-01-05,가스락,서브 참여형 리스트 배너,소재 A,1741,52,0,23000,A_gasB105,
2026-01-05,가스락,서브 텍스트 배너,소재 A,48526,356,0,110000,A_gasB103,
2026-01-05,가스락,혜택 상단 배너,소재 A,9229,22,0,0,A_gasB104,
2026-01-05,가스락,홈 참여형 리스트 배너,소재 A,448435,264,0,72000,A_gasB102,
2026-01-05,가스락,홈 토스트 배너,소재 A,40669,894,0,116000,A_gasB101,
2026-01-05,카카오페이,TMS,소재 A,60035,1012,109957,5082000,A_kpaB102,기본 텍스트형_발송당일
2026-01-05,카카오페이,혜택A,소재 A,806612,306015,0,1677000,A_kpaB101,"4세대 실비\n80% 보장, 마지막!"
2026-01-06,KT PASS,PUSH,소재 A,50119,26,0,387000,A_pasB101,
2026-01-06,KT PASS,하단배너,소재 A,2842,53,0,25000,A_pasB102,
2026-01-06,T멤버십,PUSH,소재 A,0,6259,300000,1875000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-06,T멤버십,미션탭,소재 A,170938,142,0,171000,A_sktB102,
2026-01-06,가스락,서브 참여형 리스트 배너,소재 A,2707,83,0,35000,A_gasB105,
2026-01-06,가스락,서브 텍스트 배너,소재 A,85154,725,0,193000,A_gasB103,
2026-01-06,가스락,혜택 상단 배너,소재 A,9085,16,0,0,A_gasB104,
2026-01-06,가스락,홈 참여형 리스트 배너,소재 A,647129,507,0,104000,A_gasB102,
2026-01-06,가스락,홈 토스트 배너,소재 A,60196,1178,0,171000,A_gasB101,
2026-01-06,카카오페이,혜택A,소재 A,812899,307145,0,1690000,A_kpaB101,"4세대 실비\n80% 보장, 마지막!"
2026-01-07,KT PASS,PUSH,소재 A,45794,30,0,354000,A_pasB101,
2026-01-07,KT PASS,하단배너,소재 A,2023,22,0,18000,A_pasB102,
2026-01-07,T멤버십,PUSH,소재 A,0,3767,200000,1250000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-07,T멤버십,미션탭,소재 A,160988,143,0,161000,A_sktB102,
2026-01-07,가스락,서브 참여형 리스트 배너,소재 A,2899,53,0,38000,A_gasB105,
2026-01-07,가스락,서브 텍스트 배너,소재 A,50466,440,0,115000,A_gasB103,
2026-01-07,가스락,혜택 상단 배너,소재 A,8775,13,0,0,A_gasB104,
2026-01-07,가스락,홈 참여형 리스트 배너,소재 A,492967,364,0,80000,A_gasB102,
2026-01-07,가스락,홈 토스트 배너,소재 A,40235,845,0,115000,A_gasB101,
2026-01-07,카카오페이,TMS,미확인,,,,,A_kpaB912,
2026-01-07,카카오페이,혜택A,소재 A,787801,303804,0,1638000,A_kpaB101,"4세대 실비\n80% 보장, 마지막!"
2026-01-08,KT PASS,PUSH,소재 A,53969,41,0,417000,A_pasB101,
2026-01-08,KT PASS,하단배너,소재 A,1970,18,0,18000,A_pasB102,
2026-01-08,T멤버십,PUSH,소재 A,0,5612,300000,1875000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-08,T멤버십,미션탭,소재 A,160993,122,0,161000,A_sktB102,
2026-01-08,가스락,서브 참여형 리스트 배너,소재 A,1636,53,0,21000,A_gasB105,
2026-01-08,가스락,서브 텍스트 배너,소재 A,46317,433,0,105000,A_gasB103,
2026-01-08,가스락,혜택 상단 배너,소재 A,8386,14,0,0,A_gasB104,
2026-01-08,가스락,홈 참여형 리스트 배너,소재 A,488691,356,0,79000,A_gasB102,
2026-01-08,가스락,홈 토스트 배너,소재 A,40260,803,0,115000,A_gasB101,
2026-01-08,카카오페이,혜택A,소재 A,487978,211575,0,1014000,A_kpaB101,"4세대 실비\n80% 보장, 마지막!"
2026-01-08,카카오페이,혜택A,소재 B,413710,215393,0,860000,A_kpaB010,보장 축소된 5세대!\n4세대 80%보장 막차!
2026-01-09,KT PASS,PUSH,소재 B,54377,53,0,420000,A_pasB010,
2026-01-09,KT PASS,하단배너,소재 B,2152,9,0,19000,A_pasB020,
2026-01-09,T멤버십,PUSH,소재 A,0,3629,200000,1250000,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-09,T멤버십,미션탭,소재 A,159991,152,0,160000,A_sktB102,
2026-01-09,가스락,서브 참여형 리스트 배너,소재 A,1987,44,0,26000,A_gasB105,
2026-01-09,가스락,서브 텍스트 배너,소재 A,70694,668,0,161000,A_gasB103,
2026-01-09,가스락,혜택 상단 배너,소재 A,8702,13,0,0,A_gasB104,
2026-01-09,가스락,홈 참여형 리스트 배너,소재 A,628613,370,0,101000,A_gasB102,
2026-01-09,가스락,홈 토스트 배너,소재 A,65371,1133,0,186000,A_gasB101,
2026-01-09,카카오페이,혜택A,소재 B,665982,296397,0,1384000,A_kpaB010,보장 축소된 5세대!\n4세대 80%보장 막차!
2026-01-10,KT PASS,PUSH,소재 B,18168,29,0,140000,A_pasB010,
2026-01-10,KT PASS,하단배너,소재 B,1116,6,0,10000,A_pasB020,
2026-01-10,T멤버십,PUSH,소재 A,0,0,0,0,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-10,T멤버십,미션탭,소재 A,159996,223,0,160000,A_sktB102,
2026-01-10,가스락,서브 참여형 리스트 배너,소재 B,1596,44,0,21000,A_gasB050,
2026-01-10,가스락,서브 텍스트 배너,소재 B,39667,406,0,90000,A_gasB030,
2026-01-10,가스락,혜택 상단 배너,소재 B,8209,9,0,0,A_gasB040,
2026-01-10,가스락,홈 참여형 리스트 배너,소재 B,451236,278,0,73000,A_gasB020,
2026-01-10,가스락,홈 토스트 배너,소재 B,38495,986,0,110000,A_gasB010,
2026-01-10,카카오페이,혜택A,소재 B,619875,288015,0,1289000,A_kpaB010,보장 축소된 5세대!\n4세대 80%보장 막차!
2026-01-11,KT PASS,PUSH,소재 B,14409,24,0,111000,A_pasB010,
2026-01-11,KT PASS,하단배너,소재 B,1142,8,0,10000,A_pasB020,
2026-01-11,T멤버십,PUSH,소재 A,0,0,0,0,A_sktB101,"(광고) 4세대 실비 80%보장, 마지막!"
2026-01-11,T멤버십,미션탭,소재 A,160000,170,0,160000,A_sktB102,
2026-01-11,가스락,서브 참여형 리스트 배너,소재 B,1623,38,0,21000,A_gasB050,
2026-01-11,가스락,서브 텍스트 배너,소재 B,34869,323,0,79000,A_gasB030,
2026-01-11,가스락,혜택 상단 배너,소재 B,8428,7,0,0,A_gasB040,
2026-01-11,가스락,홈 참여형 리스트 배너,소재 B,424339,281,0,68000,A_gasB020,
