광고매체,광고매체세부,매체,SITE_URL,카테고리,키워드,인타입,상담등록일,DB수,계약수,평가업적,계약수(누적),평가업적(누적)
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,간병인사용보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-04-21,1,1,43768.61499,1,43768.614989
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,간병인사용보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-06-19,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,암보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-01-20,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,암보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-01-21,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,암보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-03-12,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,암보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-03-25,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,암보험,바로가기_웹문서_즐겨찾기or미확인,KPF_welm01,2026-07-13,1,0,0.0,1,131170.104936
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_KPF_ws,2026-01-19,3,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_KPF_ws,2026-01-20,5,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_chat01,2026-04-08,1,2,22177.93441,2,22177.934409
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms3034,2026-02-10,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms3039,2026-05-13,2,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms3539,2026-04-13,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms3544,2026-01-15,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms4044,2026-04-14,1,0,0.0,0,0.0
뉴미디어,kakao광고,굿리치몰,http://goodrichmall.com,의료실비보험,바로가기_웹문서_즐겨찾기or미확인,KPF_ms4044,2026-06-15,1,3,187998.4034,3,187998.403379
